acetylation and deacetylation of rela in nucleus,CREBBP EP300 HDAC3 NFKBIA RELA
map kinase inactivation of smrt corepressor,EGF EGFR GRB2 HRAS MAP2K1 MAP2K4 MAP3K1 MAPK14 NCOR2 RAC1 RARA RXRA SHC1 SOS1 THRA THRB ZBTB16
mapkinase signaling pathway,ARAF ATF2 CEBPA CHUK CREB1 ELK1 FOS GCK HRAS IKBKB JUN MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MAP2K7 MAP3K1 MAP3K11 MAP3K12 MAP3K13 MAP3K14 MAP3K2 MAP3K3 MAP3K4 MAP3K5 MAP3K7 MAP3K8 MAP4K1 MAP4K3 MAP4K4 MAP4K5 MAPK1 MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK3 MAPK7 MAPK8 MAPK9 MAX MEF2A MEF2BNB-MEF2B MEF2C MEF2D MYC PAK1 PAK2 RAC1 RAF1 RPS6KA1 SP1 STAT1
mcalpain and friends in cell motility,ACTA1 CAPN1 CAPN2 CAPNS1 CAST EGF EGFR EZR GRB2 HRAS ITGA1 ITGB1 MAP2K1 MAP2K2 MAPK1 MAPK3 MLC1 MYLK PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PTK2 PXN RAC1 SHC1 SOS1 TLN1
mechanism of acetaminophen activity and toxicity,COX2 COX3 CYP1A2 CYP2E1 CYP3A NR1I3 PTGS1
mechanism of gene regulation by peroxisome proliferators via ppara,ACOX1 APOA1 APOA2 CITED2 COX2 CPT1A CREBBP DUSP1 DUT EHHADH EP300 FABP1 FAT1 FRA8B HSD17B4 HSP90AA1 HSPA1A JUN LPL MAPK1 MAPK3 ME1 MED1 MRPL11 MYC NCOA1 NCOR1 NCOR2 NFKBIA NOS2 NR0B2 NR1H3 NR2F1 NRIP1 PPARA PPARGC1A PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB RB1 RELA RXRA SP1 SRA1 STAT5A STAT5B TNF
mechanism of protein import into the nucleus,KPNA2 KPNB1 NUP153 NUP210 NUP214 NUP62 NUTF2 RAN RANBP1 RANBP2 RANGAP1 RCC1
mechanisms of transcriptional repression by dna methylation,CHD3 CHD4 HDAC1 HDAC2 MBD1 MBD2 MBD3 MECP2 MTA2 RBBP4 RBBP7 SAP18 SAP30 SIN3A SIN3B
melanocyte development and pigmentation pathway,BCL2 CREB1 EP300 HRAS KIT KITLG MAP2K1 MAP2K2 MAPK1 MAPK3 MITF RAF1 RPS6KA1
metabolism of anandamide an endogenous cannabinoid,BAAT CNR1 CNR2 FAAH PLD1 PLD2 PLD3
mets affect on macrophage differentiation,CSF1 CSF1R DDX20 E2F1 E2F4 ETS1 ETS2 ETV3 FOS HDAC2 HDAC5 HRAS JUN NCOR2 RBL1 RBL2 SIN3A SIN3B
mtor signaling pathway,AKT1 EIF3A EIF4A1 EIF4B EIF4E EIF4EBP1 EIF4G1 FKBP1A GH1 GHR IRS1 MKNK1 MTOR PDK2 PDPK1 PIK3CA PIK3R1 PPP2R5D PTEN RHEB RPS6 RPS6KB1 TSC1 TSC2
multi-drug resistance factors,ABCB1 ABCB11 ABCB4 ABCC1 ABCC3 GSTP1
multi-step regulation of transcription by pitx2,AXIN1 CCND2 CREBBP CSNK2A1 CTNNB1 DKK1 DKK2 DVL1 EP300 FRAT1 FZD1 GSK3B HDAC1 KAT5 KREMEN2 LDB1 LEF1 LRP6 MED1 NKD1 NKD2 PITX2 PPP2R5D PROC TRRAP WIF1 WNT1
multiple antiapoptotic pathways from igf-1r signaling lead to bad phosphorylation,BAD GRB2 HRAS IGF1 IGF1R IRS1 MAPK3 PIK3CA PIK3R1 RAF1 SHC1 SOS1 YWHAH
nerve growth factor pathway (ngf),CSNK2A1 ELK1 FOS GRB2 HRAS JUN MAP2K1 MAPK3 MAPK8 NGF NGFR PIK3CA PIK3R1 PLCG1 RAF1 SHC1 SOS1
neuroregulin receptor degredation protein-1 controls erbb3 receptor recycling,ERBB3 NRG1 NRG2 NRG3 RNF41 UBE2D1
nf-kb signaling pathway,CHUK FADD IKBKB IKBKG IL1A IL1R1 IRAK1 MAP3K1 MAP3K7 MAP4K4 MYD88 NFKB1 NFKBIA RELA RIPK1 TAB1 TLR4 TNF TNFRSF1A TRADD TRAF6
nfat and hypertrophy of the heart ,ACTA1 ADSS AKT1 ALOX15B ATP2A1 ATP2A2 ATP2A3 CALR CAMK2B CAMK4 CAMKK1 CAMKK2 CREBBP CTF1 EDN1 ELSPBP1 GATA4 GRB2 GSK3B HAND1 HAND2 HBEGF HDAC5 HDAC9 HRAS IGF1 LIF MAPK8 MEF2C MYL2 NFATC1 NKX2-5 NPPA PDPK1 PIK3CA PIK3R1 PPP3CA PPP3CB PPP3CC RPS6KB1 SHC1 SOS1 TNF YWHAH
nfkb activation by nontypeable hemophilus influenzae,CHUK CREBBP CXCL8 DUSP1 EP300 IKBKB IKBKG IL1B MAP2K3 MAP2K6 MAP3K7 MAP4K4 MAPK11 MAPK14 MUC2 MUC5AC MYD88 NFKBIA NR3C1 RELA SMAD3 SMAD4 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 TLR2 TNF
nitric oxide signaling pathway,CAMK2B DLG4 GRIN1 GRIN2A GRIN2B GRIN2C GRIN2D NOS1 PPP3CA PPP3CB PPP3CC PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB
no2-dependent il-12 pathway in nk cells,IFNG IL12A IL12B IL12RB1 IL12RB2 JAK2 NOS2 STAT4 TYK2
nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells,GTF2A1 GTF2B GTF2E1 GTF2F1 GTF3A HDAC3 KAT2B NCOA1 NCOA2 NCOA3 NCOR2 NR3C1 POLR2A RARA RXRA
opposing roles of aif in apoptosis and cell survival,AIFM1 BCL2L1 PARP1
overview of telomerase protein component gene htert transcriptional regulation,ESR1 HDAC1 MAX MXD1 MYC MZF1 SP1 TERT TP53 WT1
overview of telomerase rna component gene hterc transcriptional regulation,NFYA NFYB NFYC RB1 SP1 SP3 TERC
oxidative stress induced gene expression via nrf2,AKR7A2 CREB1 CRYZ FOS FXYD2 GSTA2 HMOX1 HMOX2 JUN KEAP1 MAFF MAFG MAFK NFE2L2 POR PRKCA PRKCB UGT1A6
p38 mapk signaling pathway,ATF2 CDC42 CREB1 DDIT3 ELK1 H3F3A H3F3B HMGN1 HRAS HSPB1 MAP2K4 MAP2K6 MAP3K1 MAP3K5 MAP3K9 MAPK14 MAPKAPK2 MAPKAPK5 MAX MEF2A MEF2BNB-MEF2B MEF2C MEF2D MKNK1 MYC NR2C2 PLA2G1B RAC1 RPS6KA5 STAT1
p53 signaling pathway,BCL2 CCND1 CCNE1 CDK2 CDK4 CDKN1A E2F1 GADD45A MDM2 PCNA RB1 TIMP3 TP53
pdgf signaling pathway,CSNK2A1 ELK1 FOS GRB2 HRAS JAK1 JUN MAP2K1 MAP2K4 MAP3K1 MAPK3 MAPK8 PDGFA PDGFRA PIK3CA PIK3R1 PLCG1 PRKCA PRKCB RAF1 RASA1 SHC1 SOS1 SRF STAT1 STAT3
pelp1 modulation of estrogen receptor activity,CREBBP EP300 ESR1 PELP1 SRC
pertussis toxin-insensitive ccr5 signaling in macrophage,CCL2 CCL4 CCR5 CXCL12 CXCR4 FOS GNAQ JUN PLCG1
phosphatidylcholine biosynthesis pathway,CEPT1 CHKA PCYT1A
phosphoinositides and their downstream targets,AKT1 ARF1 BAD BTK EEA1 GRASP GSK3A GSK3B GTF3A LYN PDPK1 PFKL PFKM PFKP PLCG1 PRKCE PRKCZ RAB5A RAC1 RPS6KB1 VAV2
phospholipase c delta in phospholipid associated cell signaling,ADRA1B DLC1 PLCD1 TGM2
phospholipase c signaling pathway,PDPK1 PIK3CA PIK3R1 PLCB1 PLCG1
phospholipase c-epsilon pathway,ADRB2 GNAS PLCE1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PTGER1 RAP2B RAPGEF3
phospholipids as signalling intermediaries,ADCY1 AKT1 ASAH1 GNAI1 GNB1 GNGT1 GRB2 HRAS ITGAV ITGB3 MAP2K1 MAP2K2 MAPK1 MAPK3 PDGFA PDGFRA PDPK1 PIK3C2G PIK3CA PIK3R1 PRKCA PRKCB PTK2 RAC1 RAF1 S1PR1 SHC1 SMPD1 SMPD2 SOS1 SPHK1 SPHKAP SRC
phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway,CDK5 CDK5R1 EGR1 GRB2 HRAS MAP2K1 MAP2K2 MAPK1 MAPK3 NGF NGFR RAF1 SHC1 SOS1
pkc-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase,ARHGAP5 ARHGEF1 ARHGEF5 CACNA1A CAMK2B GNA12 GNA13 GNAQ GNB1 GNGT1 MYL2 MYLK PKN1 PLCB1 PPP1R12B PPP1R14A PRKCA PRKCB ROCK1 TRIO VAV1
platelet amyloid precursor protein pathway,APP COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 F11 F2 F9 PLAT PLAU PLG SERPINE1
polyadenylation of mrna,CPSF1 CPSF2 CPSF3 CPSF4 CSTF1 CSTF2 CSTF3 PABPN1 PAPOLA
prion pathway,BCL2 DNAJB1P1 DNAJB6 GFAP HSPA5 LAMA1 LAMA2 LAMA3 LAMA4 LAMA5 LAMB1 LAMB2 LAMB3 LAMC1 LAMC2 LAMC3 PRNP RPSA
proteasome complex,PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMD11 PSMD12 PSMD14 PSMD3 PSMD4 RPN1 RPN2 UBA1 UBE2A UBE3A
protein kinase a at the centrosome,AKAP9 CDK1 PKN1 PPP1CA PPP2R5D PRKACB PRKACG PRKAG1 PRKAR2A PRKAR2B PRKCE RHOA
proteolysis and signaling pathway of notch,ADAM17 DLL1 FURIN NOTCH1 PSEN1 RBPJ
pten dependent cell cycle arrest and apoptosis,AKT1 BCAR1 CDKN1B FASLG FOXO3 GRB2 ILK ITGB1 PDK2 PIK3CA PIK3R1 PTEN PTK2 SHC1 SOS1
rac1 cell motility signaling pathway,ARAP1 ARAP2 ARFGAP1 ARFGAP3 ARFIP2 ARHGAP1 ARHGAP4 ARHGAP5 ARHGAP6 ARHGEF1 ARHGEF5 ASAP1 ASAP2 CACNA1A CADM1 CDK5 CDK5R1 CFL1 CHN1 LIMK1 MAP3K1 MYL2 MYLK NCF2 PAK1 PDGFRA PIK3CA PIK3R1 PLD1 PPP1R12B RAC1 RALBP1 RPS6KB1 TRIO VAV1 WASF1
ras signaling pathway,AKT1 BAD BCL2L1 CASP9 CDC42 CHUK FOXO4 HRAS PDPK1 PIK3CA PIK3R1 PLD1 RAC1 RAF1 RALA RALBP1 RALGDS RHOA SOS1 VAV1
ras-independent pathway in nk cell-mediated cytotoxicity,B2M CD2 CD28 FCGR3A FCGR3B HLA-A IL18 KLRC1 KLRC2 KLRC3 KLRC4 KLRD1 LAT MAP2K1 MAPK3 PAK1 PIK3CA PIK3R1 PTPN6 RAC1 SYK VAV1
rb tumor suppressor/checkpoint signaling in response to dna damage,ATM CDK1 CDK2 CDK4 CDKN1A CHEK1 E2F1 MYT1 RASGRF1 RB1 TP53 WEE1 YWHAH
regulation of bad phosphorylation,ADCY1 AKT1 BAD BAX BCL2 BCL2L1 CSF2RB IGF1 IGF1R IL3 IL3RA KIT KITLG PDPK1 PIK3CA PIK3R1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B YWHAH
regulation of cell cycle progression by plk3,APAF1 ATM ATR BAX CASP3 CASP6 CASP7 CASP9 CCNB1 CDK1 CHEK1 CHEK2 CYCS PLK3 RASGRF1 TP53 TREX1 YWHAH
regulation of ck1/cdk5 by type 1 glutamate receptors,ADCY1 ADRBK1 CAMK2B CDK5 CDK5R1 CSNK1D DRD1 DRD2 GNAS GNB1 GNGT1 GRM1 NCS1 PLCB1 PPP1CA PPP1R1B PPP2R5D PPP3CA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B
regulation of eif-4e and p70s6 kinase,AKT1 EIF4A1 EIF4E EIF4EBP1 EIF4G1 GH1 GHR IRS1 MAPK1 MAPK14 MAPK3 MKNK1 MTOR PABPC1 PDK2 PDPK1 PIK3CA PIK3R1 PPP2CA PRKCA PRKCB PSMC4 PTEN RPS6KB1
regulation of eif2,EIF2AK1 EIF2AK2 EIF2AK3 EIF2AK4 EIF2B5 EIF2S1 EIF2S2 EIF2S3 EIF5 GSK3B NPY4R
regulation of map kinase pathways through dual specificity phosphatases,DUSP1 DUSP2 DUSP4 DUSP6 DUSP8 DUSP9 MAPK14 MAPK3 MAPK8
regulation of p27 phosphorylation during cell cycle progression,CCNE1 CDK2 CDKN1B CKS1B CUL1 E2F1 NEDD8 RB1 RBX1 SKP1 SKP2 TFDP1 UBE2M
regulation of pgc-1a,CAMK2A CAMK2B CAMK2D CAMK2G CAMK4 CAMKK1 CAMKK2 ESRRA HDAC5 MEF2A MEF2BNB-MEF2B MEF2C MEF2D PPARA PPARGC1A PPP3CA PPP3CB PPP3CC SLC2A14 YWHAH
regulation of spermatogenesis by crem,ADCY1 CREM FHL5 FSHB FSHR GNAS GNB1 GNGT1 KIF17 XPO1
regulation of splicing through sam68,CDK1 HRAS KHDRBS1 MAP2K1 MAP2K2 MAPK1 MAPK3 RAF1 RASA1 SRC
regulation of transcriptional activity by pml,CREBBP DAXX PAX3 PML PRAM1 RB1 SIRT1 SP100 SUMO1 TP53 UBE2I
regulators of bone mineralization,ALPL ANKH COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 ENPP1 IBSP SPP1
repression of pain sensation by the transcriptional regulator dream,CREB1 CREM FOS JUN KCNIP3 MAPK3 OPRK1 POLR2A PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B RPS6KA3
reversal of insulin resistance by leptin,ACACA CPT1A LEP LEPR PRKAA1 PRKAA2 PRKAB1 PRKAB2 PRKAG1 PRKAG2
rho cell motility signaling pathway,ARAP1 ARAP2 ARFGAP1 ARFGAP3 ARHGAP1 ARHGAP4 ARHGAP5 ARHGAP6 ARHGEF1 ARHGEF5 ASAP1 ASAP2 CACNA1A CFL1 CHN1 DIAPH1 GSN LIMK1 MYL2 MYLK NCF2 PFN1 PIP5K1A PIP5K1B PPP1R12B RALBP1 RHOA ROCK1 TLN1 TRIO VAV1 VCL
rho-selective guanine exchange factor akap13 mediates stress fiber formation,AKAP13 GNA12 LPAR1 LPAR2 LPAR3 PRKACB PRKACG PRKAG1 PRKAR2A PRKAR2B RHOA
rna polymerase iii transcription,BDP1 BRF1 GTF3C1 GTF3C3 GTF3C4 GTF3C5 NR3C1 SSB
role of brca1 brca2 and atr in cancer susceptibility,ATM ATR BRCA1 BRCA2 CHEK1 CHEK2 FANCA FANCC FANCD2 FANCE FANCF FANCG HUS1 MRE11A NBN RAD1 RAD17 RAD50 RAD51 RAD9A TP53 TREX1
role of egf receptor transactivation by gpcrs in cardiac hypertrophy,ADAM12 AGT AGTR2 CHUK EDN1 EDNRA EDNRB EGF EGFR FOS GNA11 GNB1 GNGT1 GRB2 HRAS IKBKB IKBKG JUN MAP2K1 MAP2K2 MAPK1 MAPK3 MYC NFKBIA PLCG1 PRKCA PRKCB RAF1 RELA RHOA RPS6KA1 SHC1 SOS1
role of erbb2 in signal transduction and oncology,AKT1 CARM1 EGFR EP300 ERBB2 ERBB3 ERBB4 ESR1 GRB2 GRIP1 HRAS IL6 IL6R JAK1 JAK2 JAK3 LRPPRC MAP2K1 MAP2K2 MAPK1 MAPK3 PDPK1 PIK3CA PIK3R1 RAF1 SHC1 SOS1 STAT3
role of erk5 in neuronal survival pathway,AKT1 BDNF CREB1 GRB2 HRAS MAP2K1 MAP2K2 MAP2K5 MAPK1 MAPK3 MAPK7 MEF2A MEF2BNB-MEF2B MEF2C MEF2D NGF NTF3 NTRK1 PDPK1 PIK3CA PIK3R1 PLCG1 RAF1 RPS6KA1 SHC1 SOS1
role of mal in rho-mediated activation of srf,ACTA1 CDC42 DIAPH1 HNF1A HRAS LIMK1 MAL MAP2K1 MAP2K2 MAP3K1 MAP4K2 MAPK1 MAPK3 MAPK8 RAC1 RAF1 RHOA ROCK1 SRF
role of mef2d in t-cell apoptosis,CABIN1 CAMK2B CAPN2 CAPNS1 CD247 CD3D CD3E CD3G CD4 EP300 FYN HDAC1 HDAC2 HLA-DRA HLA-DRB1 LAT LCK MEF2D NFATC1 NR4A1 PLCG1 PPP3CA PPP3CB PPP3CC PRKCA PRKCB PTPRC TRA TRB ZAP70
role of mitochondria in apoptotic signaling,AIFM1 APAF1 BAK1 BAX BCL2 BCL2L1 BID BIK BIRC2 BIRC3 CASP9 CYCS DIABLO
role of nicotinic acetylcholine receptors in the regulation of apoptosis,AGRN AKT1 BAD CHRNB1 CHRNG FASLG FOXO3 MUSK PDPK1 PIK3CA PIK3R1 PTK2 PTK2B RAPSN SRC TERT YWHAH
role of parkin in ubiquitin-proteasomal pathway,GPR37 PARK2 SUMO1 UBE2E2 UBE2G1 UBE2G2 UBE2L3 UBE2L6
role of pi3k subunit p85 in regulation of actin organization and cell migration,ACTR2 ACTR3 ARPC1A ARPC1B ARPC2 ARPC3 ARPC4 CDC42 PAK1 PDGFA PDGFRA PIK3CA PIK3R1 RAC1 RHOA WASL
role of ppar-gamma coactivators in obesity and thermogenesis,CREBBP EP300 LPL MED1 NCOA1 NCOA2 PPARG PPARGC1A RXRA
role of ran in mitotic spindle regulation,AURKA KIF15 KPNA2 KPNB1 NUMA1 RAN RANBP1 RANBP2 RANGAP1 RCC1 TPX2
role of \xdf-arrestins in the activation and targeting of map kinases,ADRA1B ADRB2 ADRBK1 AGT AGTR2 ARRB1 CCL11 CCL4 CCR3 CCR5 CHRM1 CXCL12 CXCR4 DNM1 EDN1 EDNRA EDNRB F2 FPR1 GNAS GNB1 GNGT1 HTR2C MAP2K1 MAP2K2 MAPK1 MAPK3 P2RY2 PTGER1 RAF1
roles of \xdf arrestin dependent recruitment of src kinases in gpcr signaling,ADRA1B ADRB2 ADRBK1 AGT AGTR2 ARRB1 CCL11 CCL4 CCR3 CCR5 CHRM1 CXCL12 CXCR4 DNM1 EDN1 EDNRA EDNRB F2 FGR FPR1 GNAS GNB1 GNGT1 HCK HRAS HTR2C MAP2K1 MAP2K2 MAPK1 MAPK3 P2RY2 PTGER1 RAF1 SRC
segmentation clock,ADAM17 AXIN1 CSNK2A1 CTNNB1 DKK1 DKK2 DLL1 DVL1 FZD1 GSK3B HES1 HES7 HEY2 KREMEN2 LFNG LRP6 NKD1 NKD2 NOTCH1 PROC PSEN1 RBPJ WIF1 WNT1
signal dependent regulation of myogenesis by corepressor mitr,CAMK2B HDAC9 MEF2A MEF2BNB-MEF2B MEF2C MEF2D MYOD1 YWHAH
signal transduction through il1r,CHUK ECSIT FOS IFNA1 IFNB1 IKBKB IKBKG IL1A IL1B IL1R1 IL1RAP IL1RN IL6 IRAK1 IRAK2 IRAK3 JUN MAP2K3 MAP2K6 MAP3K1 MAP3K7 MAP4K4 MAPK14 MAPK8 MYD88 NFKBIA PEBP1 RELA TAB1 TAB2 TGFB1 TGFB2 TGFB3 TNF TOLLIP TRAF6
signaling pathway from g-protein families,CAMK2B CREB1 ELK1 GNAI1 GNAQ GNAS GNB1 GNGT1 HRAS MAP2K1 MAPK3 NFATC1 PLCG1 PPP3CA PPP3CB PPP3CC PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB RAF1 RPS6KA3
skeletal muscle hypertrophy is regulated via akt-mtor pathway,AKT1 EIF2B5 EIF2S1 EIF2S2 EIF2S3 EIF4A1 EIF4E EIF4EBP1 EIF4G1 GSK3B IGF1 IGF1R INPPL1 MKNK1 MTOR PABPC1 PDK2 PDPK1 PIK3CA PIK3R1 PPP2R5D PSMC4 PTEN RPS6 RPS6KB1
sodd/tnfr1 signaling pathway,BAG4 BIRC3 CRADD MADD RIPK1 TNF TNFRSF1A TRADD TRAF2
sonic hedgehog receptor ptc1 regulates cell cycle,CCNB1 CCNH CDK1 CDK7 MNAT1 PTCH1 RASGRF1 SHH XPO1
spliceosomal assembly,SNRNP70 SNRPA SNRPA1 SNRPB2 SNRPC SRSF2 U2AF1 U2AF2
sprouty regulation of tyrosine kinase signals,CBL EGF EGFR GRB2 HRAS MAP2K1 MAP2K2 MAPK1 MAPK3 PTPRB RAF1 RASA1 SH3KBP1 SHC1 SOS1 SPRY1 SPRY2 SPRY3 SPRY4 SRC
srebp control of lipid synthesis,HMGCS1 LDLR MBTPS1 MBTPS2 SCAP SREBF1 SREBF2
stat3 signaling pathway,JAK1 JAK2 JAK3 MAPK1 MAPK3 MTOR STAT3 TYK2
stathmin and breast cancer resistance to antimicrotubule agents,CAMK2A CAMK2B CAMK2D CAMK2G CAMK4 CCNB1 CD2 CD247 CDK1 MAPK13 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B STMN1 TUBA1A TUBA1C TUBA3C TUBA4A TUBA4B TUBA8 TUBB1
stress induction of hsp regulation,ACTA1 APAF1 BCL2 CASP3 CASP9 CYCS DAXX FAS FASLG HSPB1 IL1A MAPKAPK2 MAPKAPK3 TNF
sumoylation as a mechanism to modulate ctbp-dependent gene responses,CDH1 CTBP1 NOS1 SUMO1 UBA1 UBE2A UBE3A ZEB1
sumoylation by ranbp2 regulates transcriptional repression,HDAC1 HDAC4 HDAC6 HDAC9 MDM2 NUP153 NUP210 NUP214 NUP62 PIAS1 PIAS2 RAN RANBP2 SUMO1
t cell receptor signaling pathway,ARAP1 ARAP2 ARFGAP1 ARFGAP3 ARHGAP1 ARHGAP4 ARHGAP5 ARHGAP6 ASAP1 ASAP2 CAMK2B CD247 CD3D CD3E CD3G CD4 CHN1 ELK1 FOS FYN GRB2 HLA-DRA HLA-DRB1 HRAS JUN LAT LCK MAP2K1 MAP2K4 MAP3K1 MAPK3 MAPK8 NCF2 NFATC1 NFKBIA PIK3CA PIK3R1 PLCG1 PPP3CA PPP3CB PPP3CC PRKCA PRKCB PTPN7 PTPRC RAC1 RAF1 RALBP1 RELA SHC1 SOS1 TRA TRB VAV1 ZAP70
telomeres telomerase cellular aging and immortality,AKT1 BCL2 KRAS MYC POLR2A PPP2R5D PRKCA RB1 TEP1 TERF1 TERT TNKS TP53 XRCC5 XRCC6
tgf beta signaling pathway,CDH1 CREBBP EP300 MAP2K1 MAP3K7 MAPK3 NR2C2 PROC SAR1A SKIL SMAD2 SMAD3 SMAD4 SMAD7 TAB1 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2
the 41bb-dependent immune response,ATF2 IFNG IL2 IL4 JUN MAP2K3 MAP2K6 MAP3K5 MAPK14 RELA TNFRSF9 TNFSF9 TRAF2
the co-stimulatory signal during t-cell activation,CD247 CD28 CD3D CD3E CD3G CD80 CD86 CTLA4 GRB2 HLA-DRA HLA-DRB1 ICOS ICOSLG ITK LCK PIK3CA PIK3R1 PTPN11 TRA TRB
the igf-1 receptor and longevity,AKT1 CAT FOXO3 GRB2 HRAS IGF1 IGF1R IRS1 PDPK1 PIK3CA PIK3R1 SHC1 SOD1 SOD2 SOD3 SOS1
the information processing pathway at the ifn beta enhancer,ACTB ARID1A ATF2 CREBBP GTF2A1 GTF2B GTF2E1 GTF2F1 GTF3A HMGB1 IFNB1 IRF1 IRF2 IRF3 IRF4 IRF5 IRF6 IRF7 JUN KAT2B NR3C1 POLR2A RELA SMARCA4 SMARCB1 SMARCC1 SMARCC2 SMARCD1 SMARCE1
the prc2 complex sets long-term gene silencing through modification of histone tails,BMI1 CBX4 EED EZH2 H3F3A H3F3B HDAC1 HDAC2 PHC1 RBBP4 RBBP7 RING1 SUZ12 YY1
thrombin signaling and protease-activated receptors,ADCY1 ARFGEF1 ARFGEF2 CYTH1 CYTH2 CYTH3 CYTH4 F2 F2R F2RL3 GBF1 GNA12 GNA13 GNAI1 GNAQ GNB1 GNGT1 MAP3K7 PIK3CA PIK3R1 PLCB1 PPP1R12B PRKCA PRKCB PTK2B RHOA ROCK1
tnf/stress related signaling,ATF1 BAG4 CASP2 CHUK CRADD IKBKB IKBKG JUN MAP2K3 MAP2K4 MAP2K6 MAP2K7 MAP3K1 MAP4K2 MAP4K4 MAPK14 MAPK8 RIPK1 TANK TNF TNFRSF1A TRADD TRAF2
tnfr1 signaling pathway,BAG4 BIRC3 CASP2 CASP3 CASP8 CRADD FADD LMNA LMNB1 LMNB2 MADD MAP2K4 RIPK1 TNF TNFRSF1A TRADD TRAF2
tnfr2 signaling pathway,LTA MAP3K1 MAP3K14 NFKBIA RELA RIPK1 TANK TNFAIP3 TNFRSF1B TRAF1 TRAF2 TRAF3
toll-like receptor pathway,CD14 CHUK ECSIT EIF2AK2 ELK1 FOS IKBKB IKBKG IRAK1 JUN LY96 MAP2K3 MAP2K4 MAP2K6 MAP3K1 MAP3K14 MAP3K7 MAPK14 MAPK8 MYD88 NFKBIA PGLYRP1 PPARA RELA TAB1 TAB2 TIRAP TLR2 TLR3 TLR4 TLR6 TLR7 TLR9 TOLLIP TRAF6
tpo signaling pathway,CSNK2A1 ELK1 FOS GRB2 HRAS JAK2 JUN MAP2K1 MAPK3 MPL PIK3CA PIK3R1 PLCG1 PRKCA PRKCB RAF1 RASA1 SHC1 SOS1 STAT1 STAT3 STAT5A STAT5B THPO
transcription factor creb and its extracellular signals,AKT1 CAMK2A CAMK2B CAMK2D CAMK2G CREB1 GNAS GRB2 HRAS MAPK1 MAPK14 MAPK3 PDPK1 PIK3CA PIK3R1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB RPS6KA1 RPS6KA5 SHC1 SOS1
transcription regulation by methyltransferase of carm1,BCL2 CARM1 CREB1 CREBBP EP300 NCOA3 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B RARA RXRA
transcriptional activation of dbpb from mrna,F2 PDGFB PROCR YBX1
trefoil factors initiate mucosal healing,AKT1 APAF1 BAD CASP3 CASP6 CASP7 CASP9 CHUK CTNNB1 CYCS EGFR ERBB2 GH1 GHR GRB2 HRAS IKBKB IKBKG MAP2K1 MAP2K2 MAPK1 MAPK3 MUC2 NFKBIA PDPK1 PIK3CA PIK3R1 RAF1 RELA RHOA RPS6KA1 SHC1 SOS1 TFF1 TFF2 TFF3
trka receptor signaling pathway,AKT1 GRB2 HRAS NGF NTRK1 PDPK1 PIK3CA PIK3R1 PLCG1 PRKCA PRKCB SHC1 SOS1
tsp-1 induced apoptosis in microvascular endothelial cell,CASP3 CD36 FOS FYN GZMA JUN MAPK14
tumor suppressor arf inhibits ribosomal biogenesis,ABL1 AKT1 ATM CDKN2A DNAJB1P1 E2F1 HSP90AA1 HSPA1A MDM2 MYC NFKBIB PIK3CA PIK3R1 POLR1A POLR1B POLR1C POLR1D RAC1 RB1 TBX2 TP53 TWIST1 UBE2A
ucalpain and friends in cell spread,ACTA1 ACTN1 ACTN2 ACTN3 ACTN4 CAPN1 CAPNS1 EZR ITGA1 ITGB1 PTK2 PXN RAC1 RHOA SPTAN1 SRC TLN1
vegf hypoxia and angiogenesis,ACTA1 AKT1 ARNT BCAR1 BDKRB2 CAMK2B CAV1 CSK FLT1 FLT4 GRB2 HIF1A HRAS HSP90AA1 KDR KNG1 NOS3 PDPK1 PIK3CA PIK3R1 PLCG1 PRKCA PRKCB PTK2 PXN SHC1 SOS1 SRC VEGFA VHL
