sample,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75
sample40,1.399,0.139,-0.658,-0.13,1.457,0.773,-0.698,-1.037,0.566,-1.138,-0.479,0.666,-1.024,-0.788,0.199,-0.284,1.251,-0.015,0.577,0.625,-0.577,0.796,1.256,-0.192,-0.565,-0.269,1.347,-0.037,-0.497,-1.23,-0.058,-1.321,0.866,-0.801,-1.263,0.917,0.294,0.422,-0.924,0.71,0.267,0.127,0.829,0.997,-0.09,1.482,0.492,-0.102,0.584,0.219,1.469,0.233,-0.157,-0.019,0.763,-1.53,-1.285,-0.271,0.415,0.586,-0.329,-1.549,-2.091,-0.233,-0.481,0.218,0.88,-0.909,1.263,-0.467,-0.241,0.099,-1.896,2.228,-0.357
sample41,1.019,-0.708,-1.6,-1.086,-1.157,-1.912,-2.53,0.634,-0.754,0.043,1.116,-0.588,-0.06,0.907,0.295,0.13,-1.001,-0.982,0.618,-0.31,0.796,0.63,0.341,0.602,0.16,1.097,-2.091,-0.759,0.265,1.562,-1.664,-0.562,0.373,1.204,-0.485,-2.021,0.295,0.719,0.412,0.387,0.551,-0.758,0.524,0.783,-0.027,-0.861,-0.622,0.636,-0.667,1.197,0.176,-0.274,0.779,-0.059,2.042,1.35,-0.738,-0.381,-1.973,0.734,0.379,0.149,-1.424,1.462,1.166,-0.476,-0.652,-0.527,0.72,0.279,-0.155,-0.312,-1.385,-0.658,-1.743
sample42,0.887,-0.139,-0.093,-0.507,-1.059,-2.099,-0.937,-0.615,-0.532,0.731,0.761,-1.095,-0.978,0.846,-2.258,-0.382,0.64,0.026,-0.542,0.541,-0.681,-0.902,0.132,-0.203,0.47,1.057,1.24,-2.428,0.247,0.464,0.746,-0.391,-0.378,0.284,-0.842,-1.696,0.622,0.597,-1.23,0.978,-0.934,0.297,-1.328,-0.072,-0.794,-0.588,0.233,0.518,-1.024,1.382,-0.928,-1.649,-0.398,1.75,-0.581,-1.429,-0.773,0.219,0.444,0.342,0.941,1.894,0.038,0.352,-0.035,0.316,1.14,0.313,-1.022,0.837,1.445,0.179,1.822,0.986,-1.479
sample43,-0.491,-1.156,-0.558,-0.907,0.136,0.556,-1.996,0.696,-0.188,0.904,-0.343,-2.292,-0.181,0.294,0.324,-0.136,-1.106,-0.973,-0.869,-1.078,-0.025,0.304,0.732,0.308,-0.188,0.537,-0.065,-1.042,0.827,-0.098,-0.12,1.146,0.483,0.616,1.892,1.109,0.813,0.086,-1.995,-2.444,-0.972,2.228,-0.209,-0.495,0.491,1.068,0.326,0.513,0.307,-0.413,-0.594,-2.273,-0.119,-0.111,0.208,0.871,-1.415,-1.25,0.59,-1.68,0.082,-0.086,0.372,-0.952,0.447,-1.305,0.632,-0.153,-0.553,0.021,1.093,-1.184,-0.34,-1.376,0.775
sample44,0.54,-1.044,-0.409,-1.256,-0.137,0.831,-0.721,-0.158,-1.788,1.486,-1.327,-0.05,-0.525,0.869,-0.393,-0.565,-1.475,1.01,-1.871,1.361,1.108,1.653,-1.045,-0.843,0.055,0.969,-1.13,1.09,-1.216,0.596,-0.041,0.115,-0.142,0.597,-1.784,0.928,-0.624,-0.284,-0.849,0.575,0.319,-0.435,-0.978,1.731,-0.286,0.489,-0.348,0.993,1.291,0.996,1.576,1.637,-2.082,-0.643,-1.194,0.636,0.284,-1.158,1.585,0.169,1.605,-0.591,0.852,1.266,-0.313,0.362,0.019,-0.342,0.355,-1.857,0.722,0.127,-1.188,0.707,-1.904
sample45,-1.102,1.171,0.545,-0.627,1.412,-0.296,-0.163,0.053,0.668,0.523,-0.911,-0.39,0.593,1.121,0.28,0.892,0.863,-0.966,-0.174,2.105,-0.222,0.759,-1.233,3.01,-0.705,0.696,0.542,-1.477,-0.146,1.125,-0.589,0.961,-0.259,1.24,2.252,-1.003,0.367,-0.643,-0.899,0.051,0.236,0.467,0.441,-2.129,-0.466,-2.051,0.318,0.837,0.296,-0.495,0.378,0.793,0.546,-0.532,-0.346,1.248,-0.003,0.177,0.049,0.59,0.542,-0.296,-0.331,-0.283,0.143,0.569,-1.373,1.498,-1.036,0.091,-1.07,-0.511,-0.091,0.51,0.228
sample46,0.799,-0.32,1.533,-1.564,0.224,0.292,-0.451,-0.052,-0.847,0.366,-0.412,0.712,0.342,0.382,0.095,-0.847,0.674,0.789,-0.337,-1.057,-0.638,1.018,-1.6,0.335,-0.337,0.722,-1.414,0.434,-1.004,0.508,1.635,-0.221,1.825,0.053,0.702,2.236,0.976,0.499,-2.25,-0.777,0.377,-0.729,-0.943,0.47,-1.376,-1.109,0.664,1.946,-0.74,0.097,0.52,-0.642,-0.836,0.385,-1.063,-0.75,1.794,-1.876,1.874,1.372,-0.594,1.116,0.192,-0.914,-0.559,-0.724,1.505,-1.179,-1.268,-0.409,-0.672,2.068,-0.527,-0.748,-0.804
sample47,-0.832,-2.026,-0.014,-0.796,-0.378,1.095,0.918,0.693,-0.993,-0.18,-0.596,-0.401,-0.233,-0.634,0.93,-0.807,1.257,0.335,-0.197,0.38,-0.41,-0.394,0.913,-0.34,4.091,-1.243,-1.378,1.19,-0.563,-0.699,-1.121,-0.322,-0.865,0.622,-0.733,-0.134,0.508,0.103,-0.61,-1.146,-1.592,-1.653,0.579,-0.703,-0.557,0.037,0.184,0.875,0.313,-0.37,-1.281,0.307,-0.231,-0.161,-0.976,0.17,0.709,-0.27,0.551,-0.06,-0.413,1.105,-0.353,0.185,-1.557,0.763,-0.477,-0.195,-0.455,0.213,-0.654,-1.106,0.083,0.199,-0.55
sample48,0.607,0.996,-0.78,0.384,0.396,-1.565,-1.267,-2.238,1.301,-0.492,-0.426,0.573,1.519,0.416,1.552,1.248,3.666,-0.945,-0.452,-0.769,0.6,-0.844,0.742,-1.893,0.954,0.476,1.452,0.631,0.114,0.325,-2.035,-0.298,0.105,1.717,0.054,-1.617,2.134,-1.007,-0.0,-1.057,-3.546,0.727,-0.555,0.695,-0.698,0.548,1.523,0.555,-0.203,-0.581,-0.065,-1.389,0.036,0.591,-1.535,-1.323,1.756,-0.075,1.753,0.503,0.646,0.119,1.637,1.291,-0.115,-1.952,-1.334,-0.173,-1.057,0.505,0.348,0.407,0.5,0.099,0.322
sample49,0.121,-1.163,-0.117,-0.112,0.827,-0.486,-0.982,1.801,0.688,1.026,1.549,-0.371,0.98,0.128,-1.201,0.172,0.142,0.479,-0.341,-0.335,-1.194,0.735,-2.073,-0.077,-0.587,-0.561,0.145,-0.468,-1.859,-2.164,-1.96,-0.928,-0.447,-0.47,-0.096,0.078,-0.542,-1.528,-0.571,-0.748,1.58,0.875,-0.953,-0.221,1.183,0.129,0.966,0.175,0.209,0.577,-0.654,-0.765,-0.392,1.028,0.274,-1.304,0.989,0.454,0.893,0.254,0.007,-2.015,0.234,-1.836,-0.264,1.748,0.157,0.302,-0.572,0.229,-1.343,-0.308,0.213,-0.313,-1.189
sample50,-2.424,-0.682,-0.901,-0.666,0.397,-1.88,0.67,-1.48,2.377,1.171,0.534,-0.928,0.078,0.081,-0.698,-0.633,0.995,0.065,1.832,1.127,-0.114,0.561,0.099,-1.28,0.491,-0.862,1.354,0.976,-2.45,0.06,-1.101,1.605,-0.165,0.249,0.559,-1.025,0.099,1.244,-0.658,0.533,-0.282,2.183,1.937,-0.048,-0.246,0.473,-0.143,-0.176,-0.615,1.675,2.202,0.497,-1.649,-1.433,0.468,-1.002,-0.616,0.056,-0.493,1.168,-1.385,0.056,-1.236,0.116,-1.917,-0.555,1.032,-0.784,0.202,-0.602,0.094,-0.415,0.478,-1.141,-0.273
sample51,0.662,-0.786,0.691,0.834,0.195,-2.111,1.668,-1.276,-0.035,0.396,1.619,0.046,-0.9,0.624,1.618,-0.995,0.609,-0.032,0.171,-0.273,0.358,0.594,2.427,-1.876,1.671,0.118,-1.009,-1.465,1.401,-1.673,1.889,-1.392,0.422,-0.949,-1.395,-0.62,1.968,0.195,0.296,0.99,1.231,-0.9,0.489,0.1,-0.355,-2.133,1.005,0.81,-0.483,3.7,-1.201,-0.23,0.301,-0.759,-0.016,1.547,-1.05,-2.036,-0.628,-0.973,-0.527,-0.735,-0.092,2.301,-0.01,2.118,-0.153,-0.636,-2.093,0.118,0.442,2.591,-1.87,-0.811,-0.479
sample52,-0.332,-0.18,-0.962,-0.218,-1.121,-1.14,0.129,1.094,-0.801,-1.983,-0.665,-0.119,-0.19,1.11,-1.184,-0.405,-0.783,1.598,0.213,-0.416,-0.963,0.776,-1.496,1.037,0.936,0.514,0.07,-0.063,0.722,-0.31,0.899,-1.565,1.256,-0.2,1.144,0.287,-0.618,-0.211,-0.728,0.736,-1.515,-1.534,0.86,0.295,-1.065,0.513,-1.397,-0.004,-1.443,0.642,-0.143,0.166,-2.212,-1.235,-1.633,-0.59,-0.13,-1.856,-0.643,-0.272,0.273,-0.276,0.085,1.138,-1.775,1.057,-1.526,-0.168,-0.912,0.137,-0.355,1.118,-1.711,0.915,0.397
sample53,1.104,-0.687,1.333,0.174,0.594,0.019,0.567,1.318,-0.341,-1.997,0.044,0.622,-0.799,-0.548,-1.676,0.356,-1.185,0.798,0.971,1.814,1.16,1.031,-0.017,1.913,-2.107,-1.284,1.676,-0.834,-1.237,-0.794,0.738,0.991,0.589,-0.588,-0.31,0.527,-0.387,0.483,-1.402,1.068,0.062,-0.133,-0.629,-2.374,1.237,-0.641,-0.105,-0.138,0.847,-0.241,1.815,0.629,-0.486,-0.62,2.491,-0.968,-0.564,-1.2,0.105,-0.18,1.191,-1.062,-1.504,1.688,-2.799,-0.095,-1.891,0.475,-0.916,0.599,-0.546,0.172,-1.34,-0.147,0.135
sample54,0.089,0.966,0.843,2.67,-1.415,0.341,-0.114,0.482,1.338,1.989,1.505,-1.024,-0.98,-1.099,-0.134,-1.637,-0.312,-1.735,-0.397,-0.138,1.107,-0.158,-0.417,0.535,-0.944,1.191,-0.124,0.424,-0.365,-0.054,-0.464,-0.717,-0.014,0.697,-1.532,-0.056,0.993,-0.389,1.077,0.681,-1.15,-0.699,1.318,1.105,0.392,0.076,-2.448,-0.13,-1.829,-0.239,-0.131,-0.205,0.455,0.058,-1.295,-0.512,0.903,2.042,-1.168,0.421,1.102,0.484,-0.206,1.225,1.842,0.172,-0.868,-1.447,0.744,1.364,-0.246,0.032,-0.236,2.107,-0.956
sample55,0.772,-0.62,0.745,0.53,1.259,-0.173,-0.693,-0.523,-0.994,0.974,-0.028,-1.713,0.255,-0.501,-1.787,-0.348,-0.097,-0.691,-0.62,-1.253,-1.295,1.895,-1.409,0.537,0.437,-0.034,-2.149,1.064,-0.798,2.154,-0.499,-1.207,1.156,-0.426,0.202,0.911,-1.002,-1.378,-0.049,0.987,-0.184,-0.418,1.386,1.042,-0.024,2.13,-0.476,0.271,-0.918,0.601,1.097,-0.159,-1.463,0.286,-0.168,0.378,-1.268,0.311,-0.756,0.862,0.07,-0.218,0.129,0.668,1.621,-0.203,0.207,-0.756,0.028,-1.425,-0.306,1.511,0.008,-0.386,-0.471
sample56,-0.925,0.668,-0.452,-0.773,1.75,1.055,0.258,-0.697,1.355,1.958,-0.033,0.379,0.539,1.485,0.598,0.353,-0.266,-0.551,0.373,0.236,-0.288,-0.991,-0.15,-0.485,0.157,1.048,0.872,1.405,-1.855,1.427,-1.273,0.411,-0.104,0.593,-0.997,0.613,-1.82,1.178,-1.116,2.226,-0.601,-0.222,-0.278,0.458,-0.243,-0.359,-0.688,-0.173,1.034,-0.603,0.056,-0.556,-0.379,0.283,0.213,-1.251,0.369,-0.148,0.167,2.275,-0.019,-1.757,1.183,-1.009,-0.753,-0.692,0.555,-1.767,-0.719,-1.002,0.533,0.122,-0.214,-0.183,-1.092
sample57,-1.323,0.75,-0.704,-0.149,-0.761,-1.461,-1.485,0.265,1.88,-0.216,1.438,-0.318,-0.213,0.381,-1.169,-0.193,-0.581,0.353,-2.23,0.929,0.831,0.171,0.201,-0.312,-0.391,0.141,-1.473,-0.979,-0.624,2.084,-0.512,1.869,-0.812,-3.506,-0.295,-0.031,1.765,-0.97,0.327,-0.982,0.259,0.455,-1.042,0.859,0.398,-0.94,0.934,-0.814,0.495,-0.572,-0.887,1.16,1.782,0.937,0.607,-0.404,2.145,0.117,0.455,-0.707,-1.24,0.414,0.648,-1.039,-0.543,-0.057,0.04,-1.242,-1.637,-0.671,0.201,0.591,-0.498,1.681,-1.37
sample58,-0.576,-0.074,0.058,0.191,-0.878,-0.92,-1.643,0.649,-0.85,-0.067,0.898,-0.016,-1.513,-0.296,0.169,1.642,0.3,-0.84,3.256,0.982,0.336,-1.0,-1.388,-0.169,0.14,-0.633,0.388,-0.251,-1.721,1.652,-1.939,0.989,-0.633,-2.347,-1.031,1.094,-1.619,-0.658,1.273,-1.183,0.553,-1.605,-0.195,-0.407,-0.169,-0.881,1.157,-1.807,1.179,-0.195,-0.966,0.386,0.555,-0.101,-0.503,1.846,0.094,-1.104,1.821,0.77,-0.006,-1.141,0.922,-0.524,-0.409,-0.493,-1.458,2.062,0.323,0.914,-0.684,1.356,-3.036,-0.619,-2.851
sample59,0.195,0.617,0.43,-1.484,-0.118,-0.316,0.2,1.101,-0.705,0.735,0.649,0.798,-0.865,-0.782,-0.502,-1.173,-0.851,-0.93,0.259,-0.671,0.636,-0.57,1.748,-0.034,-0.108,-1.31,0.816,1.121,-0.333,0.698,1.678,-0.886,0.765,-0.247,-0.141,-1.134,-0.13,-0.074,0.738,-0.582,-0.41,2.106,0.137,0.586,0.324,-1.188,0.036,0.124,-1.591,1.988,-0.564,-0.693,0.215,0.654,0.743,0.089,1.479,0.567,0.055,0.578,-0.389,-0.259,0.413,-0.655,-0.734,0.081,-0.162,-0.172,-0.736,1.499,-0.223,0.763,0.523,-1.018,0.107
sample60,0.375,1.035,-1.622,-1.277,0.938,-1.034,-1.081,0.596,-0.245,1.038,-2.133,0.867,0.806,-0.493,-0.67,0.962,-1.17,2.253,0.768,-1.355,-0.077,0.237,0.944,-0.58,0.303,-0.189,-0.373,-0.469,0.584,-0.05,0.436,0.418,0.051,1.693,1.02,0.597,-1.02,1.206,0.226,0.173,-0.772,-0.338,1.618,0.706,0.025,0.233,-0.457,0.645,-0.493,-0.639,1.383,-0.113,0.956,-0.798,-0.359,0.626,0.16,0.18,0.069,-1.938,0.48,0.082,-1.651,0.721,0.973,1.843,-0.019,0.743,-1.769,2.359,-0.062,0.368,-0.102,-0.902,-1.54
sample61,0.472,-1.416,0.674,-0.652,0.489,-0.132,-0.518,-0.657,0.6,0.817,1.244,-1.368,-0.352,-0.047,1.387,-0.115,-1.817,-0.452,-2.223,1.21,-0.036,0.612,-2.685,-0.328,-1.137,-0.125,0.946,-1.133,1.336,-0.217,0.719,-0.526,0.079,1.15,-2.602,0.705,0.503,0.832,0.576,-0.653,-0.3,-1.291,0.321,0.558,-1.058,-1.17,-0.547,-0.322,-0.021,1.057,-0.999,-0.242,-0.137,0.483,-1.536,0.423,-0.473,-1.845,1.151,-0.849,-0.961,-0.64,0.189,-0.16,1.333,0.557,-0.983,-0.187,-2.052,-1.14,-0.095,0.265,0.406,-0.992,-0.292
sample62,-0.278,0.299,0.407,-0.36,0.999,-1.208,0.017,-0.487,-0.479,2.6,-0.366,1.231,-0.199,-0.746,1.092,-1.246,-0.501,-0.164,-1.365,1.515,-0.478,0.45,-1.019,-0.083,-0.116,1.09,-0.482,-0.865,0.852,-0.285,-1.379,-0.091,0.056,0.945,0.688,0.744,1.295,-1.022,0.47,-0.301,-0.868,-0.013,-1.443,-0.403,-1.436,0.184,0.22,-1.961,0.177,-0.443,0.717,0.886,-0.759,-0.281,-0.691,1.239,0.894,1.59,-0.3,0.818,0.137,0.777,-0.413,-0.671,1.468,-1.145,0.588,2.362,-1.084,-0.215,0.464,-1.789,0.454,-1.236,-1.727
sample63,0.029,-0.979,0.8,0.709,0.735,-0.895,-0.815,0.156,-1.991,0.415,0.627,1.234,-0.163,-1.076,1.075,-1.195,0.539,-0.186,-2.08,-0.117,0.218,0.532,0.481,-1.706,0.393,-0.671,-0.542,0.86,-1.309,1.114,0.363,-1.778,-0.757,-0.955,-0.683,0.287,0.925,1.491,-0.272,0.706,-0.594,-0.187,-0.276,0.907,-1.429,-0.535,-1.289,0.319,0.219,0.556,-2.159,-0.752,-0.555,0.25,-1.111,0.555,0.557,0.006,-2.693,-1.429,0.911,-0.247,-1.336,-1.557,-0.472,0.119,-1.93,-0.353,0.752,0.937,-0.562,-1.502,0.244,-1.381,1.055
sample64,0.394,-2.06,-0.373,-0.627,-2.122,1.401,-0.288,-0.462,0.299,-0.394,-0.853,0.336,-0.744,0.918,-1.252,-0.927,1.376,-0.14,-0.619,1.435,-0.194,-1.506,-0.764,0.18,0.316,-1.436,-0.17,-0.892,-0.226,-0.7,0.281,-0.556,0.818,-0.666,0.515,-1.392,-1.675,0.17,-1.06,-0.504,-0.97,1.1,0.101,0.368,-1.183,-0.376,-0.734,-0.232,0.428,-0.208,-0.931,1.789,0.949,-0.993,-0.889,0.262,-0.211,0.276,-0.285,-1.142,-0.544,-0.485,-0.136,-0.415,-2.621,-0.708,1.371,-0.606,1.728,-0.328,-1.479,-0.657,0.508,0.022,0.8
sample65,0.095,0.771,-0.407,-1.538,0.893,0.955,0.011,-1.661,-0.16,0.936,-0.447,-0.543,-1.193,0.837,1.071,-0.662,1.003,0.093,2.22,-0.008,-1.753,-0.98,1.081,-0.791,-2.082,1.495,-0.653,-1.262,0.787,-1.441,1.021,2.429,0.176,-0.474,-0.861,-0.82,2.596,0.156,0.248,-0.427,-1.119,0.591,-0.498,0.35,-0.873,-0.533,-0.593,-1.753,-0.283,0.795,-1.212,-0.423,-0.935,1.364,0.009,-2.406,0.448,1.478,1.124,1.615,0.696,0.815,-0.109,-0.269,0.352,1.663,1.622,-0.158,-0.683,1.543,0.475,-0.819,0.6,0.169,-1.031
sample66,-0.747,-1.235,1.152,0.164,0.812,0.236,-0.034,0.057,-0.215,-1.652,-0.183,-0.086,-0.661,-0.112,-0.291,0.037,-0.134,0.934,1.279,1.102,-0.142,-1.131,0.257,-0.508,-0.759,0.234,0.32,-0.091,1.863,0.137,-0.247,0.6,0.705,-0.375,0.695,-0.711,-1.298,-0.527,0.932,-0.75,-1.851,-0.859,0.565,0.658,0.218,0.244,0.671,1.372,0.657,-0.997,1.496,0.975,-1.084,-1.478,-0.636,1.747,0.798,-2.268,-0.045,0.471,-0.469,0.778,-1.984,0.154,0.117,0.478,-0.585,0.874,-1.164,0.452,-0.478,0.435,1.731,-0.733,-0.776
sample67,-0.004,-1.194,-0.526,0.996,-0.667,0.577,0.527,-2.98,-1.848,0.097,1.008,-0.03,-0.142,-1.014,0.055,-0.284,1.027,1.433,0.305,-2.414,0.032,0.886,-0.204,1.617,-0.817,-1.637,1.015,-0.625,-1.004,-0.256,-1.068,-0.285,-0.714,-0.386,1.062,-1.015,0.429,0.669,-0.364,-1.26,0.645,1.029,-0.478,-0.484,-0.311,0.193,0.199,-0.225,0.829,0.568,-0.267,1.352,0.891,1.842,-0.415,1.654,-0.123,-0.327,0.019,-1.742,0.863,0.717,-0.818,-0.271,1.316,-0.11,-0.241,0.647,-0.144,-1.131,-0.515,-1.616,-0.656,-0.188,-0.371
sample68,-0.354,-1.983,0.049,0.735,-0.369,-0.882,0.96,-0.934,0.844,-1.075,-1.01,-0.827,1.076,1.257,-1.424,0.679,0.959,-1.765,-0.448,-0.824,1.447,-0.849,-2.04,-1.139,0.626,-1.089,0.999,0.354,0.875,-0.794,0.479,-0.638,-0.272,-0.443,0.569,-0.375,1.813,-1.321,-0.013,0.469,-0.417,2.094,0.111,1.081,0.734,0.231,-1.074,-1.163,-1.101,-0.127,-0.092,1.174,-1.584,-1.163,0.851,1.312,0.211,-0.028,1.875,-0.203,-0.208,0.962,1.17,-0.689,1.347,-0.384,0.794,0.41,-1.458,0.533,-0.447,-0.502,-0.583,0.0,-0.874
sample69,-0.715,-0.647,1.026,-0.14,-0.949,1.585,0.235,-0.511,-1.06,-0.364,1.351,-0.645,-0.856,-0.808,0.776,1.109,0.357,0.699,-1.164,0.317,-1.804,0.373,-2.119,-2.141,-0.434,-0.343,0.416,-1.082,1.378,-1.816,0.383,0.249,-0.446,-1.187,0.388,0.177,-0.985,0.956,2.79,-0.934,1.416,1.487,0.197,1.388,1.153,0.307,1.137,-0.756,-1.16,-0.735,-0.337,2.034,-2.393,0.851,-0.842,0.728,1.344,-0.506,0.405,1.374,-0.245,-1.283,-0.149,0.767,-0.178,-0.933,1.319,-0.371,-1.222,-1.419,-0.7,0.812,-0.018,0.28,-0.515
sample70,-0.189,1.322,0.142,-0.017,0.621,-1.096,-0.68,-1.377,0.333,0.866,0.575,0.627,-1.294,-0.268,1.47,0.568,1.677,0.65,2.018,-0.634,-1.633,-1.407,-1.07,-0.285,-0.508,0.608,-0.053,0.598,1.656,0.166,-2.047,0.504,0.831,1.335,0.471,0.488,0.289,1.074,1.671,-1.882,-0.16,0.551,-0.929,0.801,0.754,0.67,0.67,0.074,-0.107,0.132,0.104,0.348,0.57,-0.546,-0.05,0.062,-0.84,0.092,-0.061,-0.994,0.125,-0.009,-2.125,-0.369,-0.609,-1.376,-0.798,0.959,1.741,-0.15,-0.085,-0.979,-1.297,-0.485,-0.476
sample71,0.609,2.037,-0.478,-0.488,1.03,-1.296,2.299,0.903,0.382,0.542,0.582,-0.314,0.172,0.797,0.628,-1.092,-0.511,0.006,-0.847,0.416,-1.15,-0.205,0.29,-0.414,0.342,-1.169,0.208,1.424,0.873,2.307,-1.672,0.146,0.058,0.911,0.871,-0.938,0.336,-0.892,-0.584,-0.419,-0.207,-1.821,1.009,-1.445,0.092,0.428,0.128,0.915,-0.548,0.045,-0.311,0.746,-1.315,-0.059,0.892,2.299,1.184,-1.248,-0.682,1.028,-0.691,-1.019,0.573,0.127,-0.252,0.935,-1.634,-1.883,1.204,-1.798,-0.606,-1.079,-0.315,-1.153,-0.175
sample72,0.803,0.282,-0.355,-0.98,0.759,-2.533,-2.202,-0.351,-0.607,1.081,0.853,-1.831,-0.767,-1.776,0.801,-1.087,-0.397,-0.252,1.37,0.607,-1.099,0.147,1.088,-1.458,-0.684,2.015,1.355,0.383,0.079,0.23,-0.534,-1.735,1.786,0.063,-1.04,0.898,-1.03,1.563,0.264,0.186,-1.507,0.162,1.277,0.598,-0.485,0.109,-0.198,0.309,0.321,-0.579,0.872,0.665,0.019,-0.028,-0.154,-0.328,-1.065,-0.805,-0.454,1.732,-1.327,-0.759,0.127,0.704,-0.199,-0.8,-1.364,-0.41,0.537,0.21,0.453,0.421,0.647,-0.063,-1.675
sample73,1.206,1.316,0.345,-2.239,-1.179,1.738,1.658,-0.6,0.181,-1.088,0.763,-0.237,-0.943,-1.921,0.833,-0.906,0.096,1.719,0.171,1.887,1.926,0.78,0.957,0.334,-0.064,-1.691,1.352,-0.332,-0.341,0.889,-1.54,-0.145,0.742,-1.512,0.057,-0.699,-0.64,-0.687,-1.891,-0.038,0.142,-0.958,-0.888,-1.23,-0.3,-0.195,1.118,1.754,-0.07,0.448,-1.473,-2.398,-0.159,-0.2,-0.37,-1.173,-1.028,-1.035,0.361,-0.601,0.214,0.179,1.265,-0.668,-1.592,-1.546,-0.406,-0.496,0.636,1.173,-1.244,-0.482,0.735,0.099,1.987
sample74,-0.169,0.724,-1.901,-0.924,1.209,1.63,0.128,-1.675,0.197,0.599,0.124,-0.262,-0.258,-0.529,0.315,-0.428,0.871,0.406,-0.701,-0.579,0.005,0.847,-0.306,0.632,0.312,-0.429,-0.632,0.723,0.514,-0.15,0.037,-1.691,-0.887,-0.647,1.009,-0.4,-0.222,-2.636,-0.617,-0.227,-0.226,-0.154,-1.428,-0.202,-0.316,2.571,0.83,-0.608,0.43,-0.089,-0.56,-0.165,0.583,0.318,1.131,-1.673,0.036,1.089,-1.78,-1.143,1.15,-0.439,0.707,-0.413,0.144,-0.098,-0.365,-0.038,-0.845,-0.672,0.675,-0.358,0.845,-1.249,1.547
sample75,-2.1,1.486,-0.213,0.212,-0.3,-1.299,-0.45,0.811,-0.163,1.553,-0.301,-0.353,1.125,-0.16,0.153,0.947,1.182,1.953,0.484,-0.725,-1.326,-0.35,-1.217,1.741,-0.134,-0.453,-0.955,0.877,-0.74,-1.353,1.175,0.413,1.827,-0.098,1.559,-0.258,-0.117,-0.032,-2.059,0.758,0.501,-1.02,-0.062,-0.436,-1.621,0.732,-0.584,-0.773,-0.805,-0.85,-1.369,1.259,0.019,-0.09,-3.084,1.647,0.703,-1.622,-0.332,-1.411,0.83,-0.726,0.971,0.271,0.461,-1.499,0.415,-0.924,-0.442,-0.516,-1.549,1.012,-0.356,0.298,-0.842
sample76,-0.679,0.026,-0.861,0.514,1.131,-0.618,-0.201,1.755,-0.238,-0.759,-0.972,0.448,1.723,-0.527,-0.341,0.515,-0.834,-0.201,0.724,-0.258,0.383,-0.181,0.762,-0.409,1.709,-0.357,-1.559,-0.082,0.566,-0.529,0.415,0.499,-0.398,0.667,-2.57,1.704,0.585,-1.064,-0.933,0.501,1.379,0.841,-0.583,-2.035,-0.857,-0.384,-0.003,-1.132,-0.772,0.06,-0.277,-0.563,0.328,1.388,0.91,2.419,-1.298,-0.943,-0.545,1.138,0.658,-1.344,-2.069,0.709,-0.036,0.753,0.03,1.183,0.739,0.926,-0.569,0.641,-0.88,1.211,-1.168
sample77,0.38,-0.725,-1.132,0.411,0.955,0.2,0.05,-1.152,0.3,-0.065,0.005,1.082,-1.447,-0.244,-0.402,2.542,-1.398,-0.335,0.619,0.706,-0.447,-0.271,-1.022,0.209,-1.201,-0.588,0.394,0.377,3.033,-1.418,-0.561,-0.559,1.156,1.329,-1.059,0.471,-1.293,0.45,0.072,-0.148,0.223,1.692,0.296,-1.429,0.248,-0.309,1.289,0.797,0.405,0.276,0.576,-0.729,0.262,0.201,-2.066,-1.639,1.293,0.987,-1.406,0.806,-0.018,-1.03,0.411,0.297,-0.016,-1.411,-0.419,-0.03,-0.111,0.178,-0.82,1.878,-0.898,1.438,-1.745
sample78,1.4,-0.303,-0.181,-1.82,0.556,-0.906,1.094,0.911,1.361,1.519,-0.733,0.75,0.647,0.414,0.786,1.292,-0.64,-1.16,0.374,2.417,-0.248,1.111,-0.575,1.531,-0.056,0.627,-0.639,0.996,1.182,1.079,0.374,-1.54,0.157,-0.724,-0.916,-0.755,-0.519,1.252,0.297,2.976,0.063,-0.112,0.983,-0.707,0.202,-0.666,0.119,0.638,-1.035,-0.153,-1.187,-1.002,-1.019,-0.269,0.935,0.278,-2.815,0.025,-1.113,1.701,-0.865,-1.198,-0.846,1.337,-0.237,0.485,0.794,0.621,0.469,1.578,-2.435,0.352,-1.29,-0.506,0.637
